,Food,Carbohydrates,Protein,Fats,Energy,Category
59,Casserole Mie Tuna,57.5,36.0,35.0,689.0,Masakan Barat
60,Tenderloin Daging Sapi dengan Krim Lobak Bawang Putih,11.25,37.0,55.0,688.0,Masakan Barat
61,pai banoffee,80.0,11.0,36.0,688.0,Makanan penutup
62,Pizza Terong dan Tomat,91.5,24.0,25.0,687.0,Masakan Barat
63,Keju Matzo Blintz dengan Asparagus dan Dill,35.75,37.0,44.0,687.0,Lauk
64,Panettone Panzanella dengan Pancetta dan Kubis Brussel,44.5,17.0,49.0,687.0,Makanan penutup
65,Lo Mein Daging Sapi,67.5,48.0,25.0,687.0,Masakan Asia
66,Quesadillas Salmon Asap dengan Tomat Hangat dan Arugula,56.25,30.0,38.0,687.0,Masakan Barat
67,Ayam Tikka Masala,14.5,38.0,53.0,687.0,Lauk
68,Lele dan Okra dengan Saus Mentega Kemiri,21.25,40.0,49.0,686.0,Lauk
69,Pastitsio Domba dan Terong,57.0,31.0,37.0,685.0,Masakan Barat
70,Kue Keju Espresso-Hazelnut,30.5,10.0,58.0,684.0,Masakan Barat
71,"Kerang dengan Daun Bawang ""Leleh"" dan Mentega Tarragon-Caper",42.75,18.0,49.0,684.0,Lauk
72,"Lasagna Labu Panggang, Rosemary, dan Bawang Putih",55.5,21.0,42.0,684.0,Pasta
73,Burger Domba Wajah Terbuka dengan Saus Yogurt Mint,21.25,35.0,51.0,684.0,Sandwich
74,Spaghetti dengan Tomat Segar dan Rempah-rempah,77.25,26.0,30.0,683.0,Pasta
75,Salmon dengan Sisik Kentang,19.25,48.0,46.0,683.0,Lauk
76,"Filet Mignon Pan-Seared dengan Paprika Merah, Tomat, dan Saus Basil",15.75,49.0,47.0,682.0,Lauk
77,Lasagna Tortilla Sayur,54.75,28.0,39.0,682.0,Pasta
78,Salad Steak dengan Acar Sayuran,11.0,47.0,50.0,682.0,Salad
79,Sandwich Tuna Bakar Cal-Asia,38.0,49.0,37.0,681.0,Sandwich
80,Kue Frangipane Pir dan Ceri Kering,83.75,10.0,34.0,681.0,Makanan penutup
81,"Pasta dengan Tomat, Artichoke, dan Keju Feta",82.0,23.0,29.0,681.0,Pasta
82,Artichoke dan Terong Panini,61.25,19.0,40.0,681.0,Masakan Barat
83,"Salad Bit, Mint, dan Keju Kambing",45.5,28.0,43.0,681.0,Salad
84,Cabai Picadillo Daging Sapi,39.0,75.0,25.0,681.0,Masakan Barat
85,Steak Domba Bumbu Timur Tengah dengan Quince Rebus,48.75,29.0,41.0,680.0,Masakan Timur Tengah
86,Gratin Dua Kentang Sederhana,63.5,14.0,41.0,679.0,Masakan Barat
87,Spaghetti dengan Saus Tomat Krim Kering Matahari,93.75,22.0,24.0,679.0,Pasta
88,Cannelloni Udang dan Kepiting,53.25,31.0,38.0,679.0,Pasta
89,Daging Cincang dengan Kuah Jamur,21.0,61.0,39.0,679.0,Lauk
90,"Ikan Cod Panggang dengan Kentang, Bawang, dan Zaitun",33.75,55.0,36.0,679.0,Lauk
91,Telur Dadar Raksasa Southwestern,28.25,40.0,45.0,678.0,Lauk
92,Shortcake Jeruk-Almond dengan Cranberry Parfait,87.5,10.0,32.0,678.0,Makanan penutup
93,"Pappardelle dengan Labu, Jamur, dan Bayam",80.0,22.0,30.0,678.0,Pasta
94,Cabai Ancho Kacang Hitam,91.25,31.0,21.0,678.0,Sayur
95,Beef Rump Stew,21.75,60.0,39.0,678.0,Masakan Barat
96,Fricassée Ayam dengan Saus Dill Asam Manis Krim,31.5,39.0,44.0,678.0,Masakan Barat
97,Sup Udang Pedas dan Mie Kelapa dengan Jamur Shiitake,46.5,15.0,48.0,678.0,Masakan Barat
98,Pancake Keju Krim Tepung Jagung dengan Cranberry Kering dan Aprikot dalam Sirup Maple,104.5,11.0,24.0,678.0,Makanan penutup
99,Pasta Rustica dengan Mozzarella Asap,53.75,30.0,38.0,677.0,Pasta
100,Quesadilla Asparagus Panggang dan Bawang Merah,55.25,24.0,40.0,677.0,Masakan Barat
101,Pasta Alla Norma,110.5,25.0,15.0,677.0,Pasta
102,Salad Antipasto dengan Saus Kemangi,10.5,35.0,55.0,677.0,Salad
103,Burger dengan Mozzarella dan Bayam-Arugula Pesto,28.25,35.0,47.0,676.0,Sandwich
104,Ravioli Plum Goreng dengan Krim Mint,65.75,11.0,41.0,676.0,Pasta
105,Sup Kacang Putih Florentine dengan Pasta,64.5,28.0,34.0,676.0,Masakan Barat
106,"Rebusan Ayam Renyah dengan Lemon, Artichoke, Caper, dan Zaitun",19.0,42.0,48.0,676.0,Lauk
107,Shepherd's Pie dengan Topping Parsnip,67.25,43.0,26.0,675.0,Masakan Barat
108,Seafood Jeruk Nipis dengan Ubi Panggang,44.25,32.0,41.0,674.0,Masakan Barat
109,Risotto Saffron Primavera,112.5,20.0,16.0,674.0,Masakan Barat
110,Linguine dengan Saus Zaitun Hijau dan Remah Roti Zesty,68.0,15.0,38.0,674.0,Pasta
111,Ikan Panggang dengan Jamur dan Krim,23.75,48.0,43.0,674.0,Lauk
112,Cod Panggang dengan Kentang Tumbuk Saffron,42.75,40.0,38.0,673.0,Masakan Barat
113,"Penne dengan Ayam, Jamur Shiitake, dan Caper",64.0,39.0,29.0,673.0,Pasta
114,Salad Cumi Goreng,30.5,23.0,51.0,673.0,Salad
115,"Lasagne Sosis, Brokoli Rabe, dan Tomat",40.25,29.0,44.0,673.0,Pasta
116,Pitas Jinten-Domba Panggang dengan Couscous dan Yogurt,36.5,37.0,42.0,672.0,Masakan Barat
117,Kue Keju Ubi Jalar Marmer,61.25,10.0,43.0,672.0,Makanan penutup
118,"Burrito Kacang Hitam, Bayam, dan Jamur",60.0,36.0,32.0,672.0,Sayur
119,Ragu Bolognese klasik,29.0,40.0,44.0,672.0,Masakan Barat
120,Roti Domba Timur Tengah Berbumbu dengan Pita dan Yogurt,26.25,36.0,47.0,672.0,Sandwich
121,"Fettuccine dengan Zucchini Suwir, Ricotta Segar, dan Kulit Lemon",91.0,23.0,24.0,672.0,Pasta
122,Rigatoni dengan Terong dan Renyah Kacang Pinus,55.5,29.0,37.0,671.0,Pasta
123,Tartlet Tomat dan Tapenade,38.5,19.0,49.0,671.0,Masakan Barat
124,Salad Soba dengan Saus Miso,64.0,16.0,39.0,671.0,Salad
125,"Spaghetti dengan Asparagus, Jamur Shiitake, Lemon, dan Daun Bawang",77.75,27.0,28.0,671.0,Pasta
126,Risotto Artichoke dan Parmesan,82.75,22.0,28.0,671.0,Masakan Barat
127,"Perciatelli dengan Tuna, Caper, dan Tomat",94.5,35.0,17.0,671.0,Pasta
128,Es Krim Oatmeal Praline dengan Saus Berry Hangat,101.5,10.0,25.0,671.0,Makanan penutup
129,Puding Roti Pisang dengan Saus Rum,71.0,11.0,38.0,670.0,Makanan penutup
130,Salmon Kulit Almond dengan Daun Bawang dan Krim Lemon,14.0,41.0,50.0,670.0,Makanan penutup
131,Salmon Panggang Rosemary,10.25,47.0,49.0,670.0,Lauk
132,"Fusilli a la Southwest dengan Tomat, Bawang Putih, dan Cabai",81.25,21.0,29.0,670.0,Pasta
133,Ayam Kelapa Renyah dengan Saus Paprika Merah Panggang,28.75,35.0,46.0,669.0,Lauk
134,Salade Nicoise,37.5,42.0,39.0,669.0,Salad
135,Kue Keju Apel-Almond,52.75,11.0,46.0,669.0,Makanan penutup
136,"Penne Nika Hazleton dengan Tomat, Terong, dan Saus Ikan Teri",74.0,19.0,33.0,669.0,Pasta
137,Kue Mousse Coklat Putih dan Susu,47.25,12.0,48.0,669.0,Makanan penutup
138,Kakap Merah dengan Vinaigrette Jeruk,27.75,38.0,45.0,668.0,Lauk
139,Roti Daging Sapi dan Sosis dengan Mozzarella,35.5,55.0,34.0,668.0,Masakan Barat
140,Posole Ayam,42.0,53.0,32.0,668.0,Lauk
141,Kue Selai Kacang dengan Icing Selai Coklat-Kacang,73.25,15.0,35.0,668.0,Makanan penutup
142,Penne dengan Tomat Ceri Panggang Lambat dan Keju Kambing,94.75,25.0,21.0,668.0,Pasta
143,Salad Muffuletta Ayam,12.5,42.0,50.0,668.0,Salad
144,"Udang, Alpukat, dan Salad Mie",68.25,29.0,31.0,668.0,Salad
145,Ikan Lele Goreng,36.5,29.0,45.0,667.0,Masakan Indonesia
146,Sup Brokoli dengan Keju Cheddar,14.25,22.0,58.0,667.0,Sayur
147,Tostadas Ayam Ketumbar dengan Kacang Refried dan Adas Panggang,51.0,46.0,31.0,667.0,Masakan Barat
148,Bratwurst Panggang dan Sandwich Wajah Terbuka Bawang,31.25,23.0,50.0,667.0,Sandwich
149,Burung Puyuh yang Dioles Rempah,16.75,51.0,44.0,667.0,Lauk
150,"Sup Kentang Kari, Bayam, dan Kacang Garbanzo",74.75,20.0,32.0,667.0,Masakan Asia
151,Kerang dengan Minyak Tomat Pedas dan Roti Panggang,31.75,45.0,40.0,667.0,Lauk
152,Baby Back Ribs Glazur Paprika,12.5,35.0,53.0,667.0,Lauk
153,Sup Daging Sapi Vietnam dengan Adas Bintang,42.75,61.0,28.0,667.0,Masakan Asia
154,"Penne dengan Brokoli Rabe, Tomat, dan Parmesan",62.75,34.0,31.0,666.0,Pasta
155,Strozzapreti Carbonara dengan Lobak,69.5,25.0,32.0,666.0,Pasta
156,Ayam dan Pangsit dengan Jamur,32.5,44.0,40.0,666.0,Lauk
157,Persik dengan Topping Kue Pendek,91.5,12.0,28.0,666.0,Makanan penutup
158,puding roti coklat,82.0,17.0,30.0,666.0,Makanan penutup
159,Dada Bebek dengan Persik Panggang dan Nasi Goreng Kenari-Peterseli,69.75,56.0,18.0,665.0,Masakan Barat
160,"Pasta dengan Cumi, Tomat, dan Caper",73.0,28.0,29.0,665.0,Pasta
161,Burrito Kacang Goreng,45.0,20.0,45.0,665.0,Masakan Barat
162,Cupcake Coklat-Almond dengan Frosting Kelapa Halus,59.25,10.0,43.0,664.0,Makanan penutup
163,Salad Mie Asia Dingin dengan Ayam dan Mentimun,82.5,54.0,13.0,663.0,Salad
164,Tataki Daging Sapi Jahe dengan Saus Lemon-Kedelai,19.75,47.0,44.0,663.0,Masakan Asia
165,Torte Cokelat-Pistachio dengan Ganache Cokelat Hangat,42.5,13.0,49.0,663.0,Makanan penutup
166,Farfalle Panggang Empat Keju,70.25,30.0,29.0,662.0,Pasta
167,"Roti Domba Sisilia Direbus dengan Terong, Paprika, dan Tomat",48.25,25.0,41.0,662.0,Masakan Barat
168,Puding Nasi dengan Saus Kenari Cranberry,103.25,15.0,21.0,662.0,Makanan penutup
169,Crepes Pisang Jeruk,70.5,14.0,36.0,662.0,Makanan penutup
170,Pizza Tuna Bakar,62.75,42.0,27.0,662.0,Masakan Barat
171,Cumi Goreng dengan Mayones Peperoncini,28.5,20.0,52.0,662.0,Lauk
172,"Salad Bayam Hangat, Jamur, dan Keju Kambing",14.25,16.0,60.0,661.0,Salad
173,Mac and Cheese Ubi,88.0,21.0,25.0,661.0,Masakan Barat
174,"Daging Sapi Muda dengan Lemon, Zaitun, Tomat Panggang, dan Buah Caper",10.25,65.0,40.0,661.0,Lauk
175,Gulungan Lasagna Bayam,54.0,37.0,33.0,661.0,Pasta
176,Ayam Opulent,23.25,54.0,39.0,660.0,Lauk
177,Ayam Disiram dengan Kuah Jamur Krim,10.5,15.0,62.0,660.0,Lauk
178,Labu Kuning dan Quiche Mozzarella dengan Thyme Segar,34.75,20.0,49.0,660.0,Masakan Barat
179,Yassa Au Poulet,15.25,44.0,47.0,660.0,Masakan Barat
180,Stew Domba dengan Bayam dan Kacang Garbanzo,32.0,34.0,44.0,660.0,Masakan Barat
181,Pasta Udang dengan Saus Tomat Pedas,75.25,29.0,27.0,660.0,Pasta
182,Ditalini dengan Buncis dan Minyak Bawang Putih-Rosemary,92.25,21.0,23.0,660.0,Pasta
183,Daging Domba dengan Saus Kacang Pedas,15.0,24.0,56.0,660.0,Lauk
184,Kari Daging Sapi Pedas,12.75,33.0,53.0,660.0,Masakan Asia
185,Pai Apel Piring dalam dengan Kerak Cheddar,90.75,11.0,28.0,659.0,Makanan penutup
186,Risotto Sayuran Musim Semi dengan Telur Rebus,91.75,28.0,20.0,659.0,Masakan Barat
187,"Spaghetti dengan Tuna, Tomat, Caper, dan Kemangi",77.5,31.0,25.0,659.0,Pasta
188,Risotto Quinoa Udang dan Jamur,43.5,47.0,33.0,659.0,Masakan Barat
189,Dada Ayam dengan Saus Kucai dan Mustard,26.0,51.0,39.0,659.0,Lauk
190,Rebusan Kacang Portugis (Feijao A Portuguesa),25.25,29.0,49.0,658.0,Lauk
191,Ikan Todak Panggang dengan Chutney Pisang Nanas,38.75,47.0,35.0,658.0,Lauk
192,Burger Ayam Herba Lemon dengan Saus Pulau Seribu,32.25,31.0,45.0,658.0,Sandwich
193,Pancake Keripik Coklat Jeruk,79.5,13.0,32.0,658.0,Makanan penutup
194,Stew Daging Sapi Bawang Putih,54.5,29.0,36.0,658.0,Masakan Barat
195,Jamur Liar dan Lasagna Tiga Keju,19.25,35.0,49.0,658.0,Pasta
196,Stew Domba dan Kacang Kuning,14.75,19.0,58.0,657.0,Masakan Barat
197,Kue Keju Kelapa dengan Glasir Markisa,59.75,10.0,42.0,657.0,Makanan penutup
198,Swiss Chard dan Herb Tart,30.75,23.0,49.0,656.0,Masakan Barat
199,Salad Ayam Panggang dengan Sayuran Hijau dan Saus Balsamic,13.5,38.0,50.0,656.0,Salad
200,Pasta dengan Butternut Squash dan Sage,102.0,26.0,16.0,656.0,Pasta
201,Cabai Ancho Isi Tuna dan Kentang,68.0,24.0,32.0,656.0,Masakan Barat
202,Casserole Burrito Kacang,83.0,27.0,24.0,656.0,Masakan Barat
203,Salmon Panggang Madu dengan Mâche,60.0,25.0,35.0,655.0,Lauk
204,Pancake Terbalik Pir dan Vanila,85.5,13.0,29.0,655.0,Makanan penutup
205,Angel-Hair Pasta With Sauteed Squid,36.75,73.0,24.0,655.0,Pasta
206,Gnudi Ricotta dengan Jamur Liar dan Saus Truffle,40.5,40.0,37.0,655.0,Pasta
207,Surf 'N' Turf dengan Saus Ketumbar-Jeruk Nipis,27.75,37.0,44.0,655.0,Masakan Barat
208,Petatou De Chère Fraise Au Thyme et Zaitun Nicoises,37.5,16.0,49.0,655.0,Masakan Barat
209,"Tumis Kacang Fava Segar, Bawang Bombai, dan Adas",74.75,28.0,27.0,654.0,Sayur
210,Pasta dengan Ikan Todak dan Saus Tomat Ceri,74.75,37.0,23.0,654.0,Pasta
211,"Tart Daun Bawang, Adas, dan Biji Poppy",49.25,13.0,45.0,654.0,Masakan Barat
212,Ratatouille Panggang dengan Custard Keju,47.75,21.0,42.0,653.0,Masakan Barat
213,Salad Ayam Salsa,14.25,32.0,52.0,653.0,Salad
214,Osso Buco Milan,33.0,74.0,25.0,653.0,Lauk
215,Ayam Kari,29.5,55.0,35.0,653.0,Masakan Asia
216,Ikan asin pepetek goreng,0.0,40.4,54.3,652.0,Lauk
217,Souffle Keju Gruyère dan Parmesan,17.0,40.0,47.0,651.0,Masakan Barat
218,Soupe A L'Oignon Au Fromage (Sup Bawang Perancis),66.5,31.0,29.0,651.0,Masakan Barat
219,"Burger dengan Artichoke, Gorgonzola, dan Tomat",29.0,37.0,43.0,651.0,Sandwich
220,Tortilla dengan Saus Kacang Hitam,52.0,23.0,39.0,651.0,Masakan Barat
221,Borscht Daging Sapi Pedas dengan Krim Asam,16.0,23.0,55.0,651.0,Masakan Barat
222,Ayam Lemon-Rhubarb,40.75,41.0,36.0,651.0,Lauk
223,Souffle Ubi Jalar dan Gruyère,78.5,28.0,25.0,651.0,Makanan penutup
224,"Tumis Daging Sapi, Jamur, dan Brokoli",34.5,38.0,40.0,650.0,Masakan Indonesia
225,Udang Panggang dan Sayuran dengan Couscous Mutiara,59.0,36.0,30.0,650.0,Lauk
226,Quesadillas Cheddar Ayam dengan Salsa Tomat dan Jagung,36.5,29.0,43.0,649.0,Masakan Barat
227,Irisan Steak dengan Salsa Jagung Panggang,22.25,50.0,40.0,649.0,Lauk
228,Ayam Saus Kelapa Pedas,10.25,35.0,52.0,649.0,Lauk
229,Puding Nasi dengan Krim Sherry,120.25,15.0,12.0,649.0,Makanan penutup
230,Ayam dengan Saus Cuka Tarragon,20.0,59.0,37.0,649.0,Lauk
231,Hoppin' John Risotto,81.0,16.0,29.0,649.0,Masakan Barat
232,"Sisi Salmon yang Dioles Rosemary dengan Kentang Panggang, Parsnip, dan Jamur",28.25,46.0,39.0,648.0,Lauk
233,Dada Bebek Magret Panggang dengan Truffle Hitam Serut,22.25,70.0,31.0,648.0,Lauk
234,Spaghetti dengan Saus Zaitun Ikan Teri,88.0,20.0,24.0,648.0,Pasta
235,Ayam Provencal Rebus dengan Butternut Squash dan Kacang Putih,15.25,43.0,46.0,647.0,Masakan Barat
236,Kielbasa dengan Bawang Keemasan dan Apel,19.25,21.0,54.0,647.0,Lauk
237,Tart Krim Selai Kacang,28.0,10.0,55.0,647.0,Makanan penutup
238,Kue Es Krim Tiramisu,58.5,11.0,41.0,647.0,Makanan penutup
239,Orecchiette dengan Sosis dan Saus Cabai Merah,95.25,35.0,14.0,647.0,Pasta
240,"Tumis Turbot dengan Endive Rebus, Flan Akar Seledri, Truffle Hitam, dan Nage Bawang Putih",44.0,32.0,38.0,646.0,Lauk
241,"Sup Krim Wortel, Kacang Putih, dan Pir",80.5,27.0,24.0,646.0,Sayur
242,"Sandwich Pancetta, Mizuna, dan Tomat dengan Aïoli Bawang Putih Hijau",43.75,12.0,47.0,646.0,Sandwich
243,Vinaigrette Daun Bawang dengan Keju Burrata dan Mustard,29.0,20.0,50.0,646.0,Sayur
244,Kue Camilan Selai Kacang Renyah,54.25,15.0,41.0,646.0,Makanan penutup
245,Krim Bawang Bombai dan Adas dengan Remah Roti Berbumbu Renyah,44.0,14.0,46.0,646.0,Masakan Barat
246,"Pizza Terong, Zaitun Hijau, dan Provolone",64.0,21.0,34.0,646.0,Masakan Barat
247,Veal Scallopini dengan Zaitun dan Saus Tomat Kering,15.75,24.0,54.0,645.0,Lauk
248,Pasta dengan Saus Daging,70.75,32.0,26.0,645.0,Pasta
249,Crepes Nasi Daun Bawang dengan Isian Jamur dan Saus Cabai Merah,63.5,19.0,35.0,645.0,Masakan Barat
250,Salad Daging Sapi Panggang dengan Kubis dan Lobak,22.25,22.0,52.0,645.0,Salad
251,Bibimbap,34.0,35.0,41.0,645.0,Masakan Asia
252,Panekuk Apel Besar,64.5,18.0,35.0,645.0,Masakan Barat
253,Gouda dan Pizza Salad Merah,68.0,28.0,29.0,645.0,Salad
254,Iga Pendek Tanpa Tulang yang Direbus Cabai,20.25,42.0,44.0,645.0,Lauk
255,Daging Sapi dan Kacang Polong dengan Mie Goreng,54.25,35.0,32.0,645.0,Masakan Barat
256,Bourguignonne Hati Sapi,15.5,22.0,55.0,645.0,Masakan Barat
257,Pasta Ikan Teri dengan Remah Roti Bawang Putih,85.0,22.0,24.0,644.0,Pasta
258,Salad Ayam Tropis,30.0,41.0,40.0,644.0,Salad
259,Salad Udang Rempah Thailand dengan Sayuran Asia dan Saus Pesto,20.75,21.0,53.0,644.0,Salad
260,Ayam Panggang dengan Glasir Asam-Jeruk,43.0,10.0,48.0,644.0,Lauk
261,"Fusilli dengan Tomat, dan Kemangi",92.75,21.0,21.0,644.0,Pasta
262,Daging Sapi Panggang dan Selada Air Dibungkus dengan Mayones Ikan Teri Rosemary,26.25,29.0,47.0,644.0,Lauk
263,Sandwich Salad Telur Terbaik,30.75,22.0,48.0,643.0,Sandwich
264,Steak Panggang dengan Saus Cabai Merah,13.75,41.0,47.0,642.0,Lauk
265,Sayuran Labu Butternut,28.5,15.0,52.0,642.0,Makanan penutup
266,Pai Krim Pisang dengan Karamel Bourbon Asin,63.0,12.0,38.0,642.0,Makanan penutup
267,Spaghetti dengan Peterseli Pesto,60.25,17.0,37.0,642.0,Pasta
268,"Terong Bawang Putih, Tomat dan Kemangi Bobolis",75.0,27.0,26.0,642.0,Masakan Barat
269,Wafel Biji Lemon-Poppy dengan Saus Blueberry,106.0,14.0,18.0,642.0,Makanan penutup
270,Ayam Jeruk Cina,34.5,27.0,44.0,642.0,Lauk
271,Salad Kentang Super,55.75,19.0,38.0,641.0,Salad
272,"Yogurt dengan Granola, Buah Tropis, dan Kristal Jahe",83.25,23.0,24.0,641.0,Makanan penutup
273,Pangsit Ricotta dan Mozzarella Goreng dengan Saus Brokoli,37.25,24.0,44.0,641.0,Masakan Asia
274,"Pasta dengan Kacang Polong, Ricotta Salata, dan Lemon",76.75,25.0,26.0,641.0,Pasta
275,Daging Sapi Panggang Panggang dan Sandwich Stilton,38.0,39.0,37.0,641.0,Sandwich
276,Salad Mie Beras Kelapa-Mangga,49.25,12.0,44.0,641.0,Salad
277,"Fontina, Jagung dan Jalapeño Quesadillas",57.25,24.0,35.0,640.0,Masakan Barat
278,Route 66 Chili,24.75,34.0,45.0,640.0,Masakan Barat
279,Halibut Panggang dan Buncis dengan Saus Ketumbar Asia,15.25,48.0,43.0,640.0,Lauk
280,Flan Labu dengan Meringue,91.75,12.0,25.0,640.0,Makanan penutup
281,"Iga ""Panggang"" Cina-Hawaii",31.75,45.0,37.0,640.0,Lauk
282,Kue Kepiting dengan Mayones Cabai Merah,64.75,21.0,33.0,640.0,Masakan Barat
283,Kerang dengan Garam Masala,31.0,57.0,32.0,640.0,Lauk
284,Lasagna Domba dan Terong ala Yunani,28.0,26.0,47.0,639.0,Pasta
285,Pan Bagnat,61.75,35.0,28.0,639.0,Sandwich
286,Strozzapreti dengan Bayam dan Lemon yang Diawetkan,73.75,14.0,32.0,639.0,Pasta
287,Salmon Panggang dengan Chutney Kurma Apel,32.25,35.0,41.0,638.0,Lauk
288,Salad Caesar Keju Biru,20.5,22.0,52.0,638.0,Salad
289,Gorgonzola dan Leek Crème Brûlée,34.0,13.0,50.0,638.0,Masakan Barat
290,Dada Ayam Berkulit Jagung,38.5,60.0,27.0,637.0,Lauk
291,Pasta Kerang Isi Bayam dan Keju,86.75,32.0,18.0,637.0,Pasta
292,Pear Charlottes dengan Chamomile Crème Anglaise,109.25,14.0,16.0,637.0,Makanan penutup
