Name,Calories,Fat_g,Carbs_g,Protein_g,Serving_Size_g
"Ikan Cod Panggang dengan Kentang, Bawang, dan Zaitun",679.0,5.3,33.8,55.0,100.0
Telur Dadar Raksasa Southwestern,678.0,12.2,28.2,40.0,100.0
Shortcake Jeruk-Almond dengan Cranberry Parfait,678.0,11.4,87.5,10.0,100.0
"Pappardelle dengan Labu, Jamur, dan Bayam",678.0,8.9,80.0,22.0,100.0
Cabai Ancho Kacang Hitam,678.0,11.3,91.2,31.0,100.0
Beef Rump Stew,678.0,10.6,21.8,60.0,100.0
Fricassée Ayam dengan Saus Dill Asam Manis Krim,678.0,17.4,31.5,39.0,100.0
Sup Udang Pedas dan Mie Kelapa dengan Jamur Shiitake,678.0,0.4,46.5,15.0,100.0
Pancake Keju Krim Tepung Jagung dengan Cranberry Kering dan Aprikot dalam Sirup Maple,678.0,23.6,104.5,11.0,100.0
Pasta Rustica dengan Mozzarella Asap,677.0,7.2,53.8,30.0,100.0
Quesadilla Asparagus Panggang dan Bawang Merah,677.0,10.4,55.2,24.0,100.0
Pasta Alla Norma,677.0,3.6,110.5,25.0,100.0
Salad Antipasto dengan Saus Kemangi,677.0,3.9,10.5,35.0,100.0
Burger dengan Mozzarella dan Bayam-Arugula Pesto,676.0,17.4,28.2,35.0,100.0
Ravioli Plum Goreng dengan Krim Mint,676.0,14.9,65.8,11.0,100.0
Sup Kacang Putih Florentine dengan Pasta,676.0,2.8,64.5,28.0,100.0
"Rebusan Ayam Renyah dengan Lemon, Artichoke, Caper, dan Zaitun",676.0,0.8,19.0,42.0,100.0
Shepherd's Pie dengan Topping Parsnip,675.0,24.4,67.2,43.0,100.0
Seafood Jeruk Nipis dengan Ubi Panggang,674.0,11.6,44.2,32.0,100.0
Risotto Saffron Primavera,674.0,13.4,112.5,20.0,100.0
Linguine dengan Saus Zaitun Hijau dan Remah Roti Zesty,674.0,2.4,68.0,15.0,100.0
Ikan Panggang dengan Jamur dan Krim,674.0,7.0,23.8,48.0,100.0
Cod Panggang dengan Kentang Tumbuk Saffron,673.0,9.8,42.8,40.0,100.0
"Penne dengan Ayam, Jamur Shiitake, dan Caper",673.0,8.2,64.0,39.0,100.0
Salad Cumi Goreng,673.0,9.5,30.5,23.0,100.0
"Lasagne Sosis, Brokoli Rabe, dan Tomat",673.0,7.0,40.2,29.0,100.0
Pitas Jinten-Domba Panggang dengan Couscous dan Yogurt,672.0,13.2,36.5,37.0,100.0
Kue Keju Ubi Jalar Marmer,672.0,26.3,61.2,10.0,100.0
"Burrito Kacang Hitam, Bayam, dan Jamur",672.0,18.6,60.0,36.0,100.0
Ragu Bolognese klasik,672.0,8.1,29.0,40.0,100.0
Roti Domba Timur Tengah Berbumbu dengan Pita dan Yogurt,672.0,25.2,26.2,36.0,100.0
"Fettuccine dengan Zucchini Suwir, Ricotta Segar, dan Kulit Lemon",672.0,6.9,91.0,23.0,100.0
Rigatoni dengan Terong dan Renyah Kacang Pinus,671.0,10.9,55.5,29.0,100.0
Tartlet Tomat dan Tapenade,671.0,10.5,38.5,19.0,100.0
Salad Soba dengan Saus Miso,671.0,9.4,64.0,16.0,100.0
"Spaghetti dengan Asparagus, Jamur Shiitake, Lemon, dan Daun Bawang",671.0,1.4,77.8,27.0,100.0
Risotto Artichoke dan Parmesan,671.0,9.5,82.8,22.0,100.0
"Perciatelli dengan Tuna, Caper, dan Tomat",671.0,3.1,94.5,35.0,100.0
Es Krim Oatmeal Praline dengan Saus Berry Hangat,671.0,9.8,101.5,10.0,100.0
Puding Roti Pisang dengan Saus Rum,670.0,15.1,71.0,11.0,100.0
Salmon Kulit Almond dengan Daun Bawang dan Krim Lemon,670.0,10.5,14.0,41.0,100.0
Salmon Panggang Rosemary,670.0,11.4,10.2,47.0,100.0
"Fusilli a la Southwest dengan Tomat, Bawang Putih, dan Cabai",670.0,9.8,81.2,21.0,100.0
Ayam Kelapa Renyah dengan Saus Paprika Merah Panggang,669.0,16.3,28.8,35.0,100.0
Salade Nicoise,669.0,7.3,37.5,42.0,100.0
Kue Keju Apel-Almond,669.0,28.2,52.8,11.0,100.0
"Penne Nika Hazleton dengan Tomat, Terong, dan Saus Ikan Teri",669.0,7.0,74.0,19.0,100.0
Kue Mousse Coklat Putih dan Susu,669.0,23.0,47.2,12.0,100.0
Kakap Merah dengan Vinaigrette Jeruk,668.0,0.3,27.8,38.0,100.0
Roti Daging Sapi dan Sosis dengan Mozzarella,668.0,25.9,35.5,55.0,100.0
Kue Selai Kacang dengan Icing Selai Coklat-Kacang,668.0,17.0,73.2,15.0,100.0
Penne dengan Tomat Ceri Panggang Lambat dan Keju Kambing,668.0,20.0,94.8,25.0,100.0
Salad Muffuletta Ayam,668.0,9.5,12.5,42.0,100.0
"Udang, Alpukat, dan Salad Mie",668.0,3.2,68.2,29.0,100.0
Ikan Lele Goreng,667.0,14.8,36.5,29.0,100.0
Sup Brokoli dengan Keju Cheddar,667.0,4.5,14.2,22.0,100.0
Tostadas Ayam Ketumbar dengan Kacang Refried dan Adas Panggang,667.0,23.3,51.0,46.0,100.0
Bratwurst Panggang dan Sandwich Wajah Terbuka Bawang,667.0,13.9,31.2,23.0,100.0
Burung Puyuh yang Dioles Rempah,667.0,7.2,16.8,51.0,100.0
"Sup Kentang Kari, Bayam, dan Kacang Garbanzo",667.0,4.4,74.8,20.0,100.0
Kerang dengan Minyak Tomat Pedas dan Roti Panggang,667.0,12.1,31.8,45.0,100.0
Baby Back Ribs Glazur Paprika,667.0,13.9,12.5,35.0,100.0
Sup Daging Sapi Vietnam dengan Adas Bintang,667.0,1.4,42.8,61.0,100.0
"Penne dengan Brokoli Rabe, Tomat, dan Parmesan",666.0,7.5,62.8,34.0,100.0
Strozzapreti Carbonara dengan Lobak,666.0,7.3,69.5,25.0,100.0
Ayam dan Pangsit dengan Jamur,666.0,15.9,32.5,44.0,100.0
Persik dengan Topping Kue Pendek,666.0,22.6,91.5,12.0,100.0
puding roti coklat,666.0,26.1,82.0,17.0,100.0
Dada Bebek dengan Persik Panggang dan Nasi Goreng Kenari-Peterseli,665.0,12.2,69.8,56.0,100.0
"Pasta dengan Cumi, Tomat, dan Caper",665.0,4.8,73.0,28.0,100.0
Burrito Kacang Goreng,665.0,14.6,45.0,20.0,100.0
Cupcake Coklat-Almond dengan Frosting Kelapa Halus,664.0,24.0,59.2,10.0,100.0
Salad Mie Asia Dingin dengan Ayam dan Mentimun,663.0,6.8,82.5,54.0,100.0
Tataki Daging Sapi Jahe dengan Saus Lemon-Kedelai,663.0,14.6,19.8,47.0,100.0
Torte Cokelat-Pistachio dengan Ganache Cokelat Hangat,663.0,14.2,42.5,13.0,100.0
Farfalle Panggang Empat Keju,662.0,12.0,70.2,30.0,100.0
"Roti Domba Sisilia Direbus dengan Terong, Paprika, dan Tomat",662.0,0.4,48.2,25.0,100.0
Puding Nasi dengan Saus Kenari Cranberry,662.0,13.9,103.2,15.0,100.0
Crepes Pisang Jeruk,662.0,2.0,70.5,14.0,100.0
Pizza Tuna Bakar,662.0,5.4,62.8,42.0,100.0
Cumi Goreng dengan Mayones Peperoncini,662.0,12.8,28.5,20.0,100.0
"Salad Bayam Hangat, Jamur, dan Keju Kambing",661.0,6.8,14.2,16.0,100.0
Mac and Cheese Ubi,661.0,14.7,88.0,21.0,100.0
"Daging Sapi Muda dengan Lemon, Zaitun, Tomat Panggang, dan Buah Caper",661.0,21.8,10.2,65.0,100.0
Gulungan Lasagna Bayam,661.0,9.8,54.0,37.0,100.0
Ayam Disiram dengan Kuah Jamur Krim,660.0,14.3,10.5,15.0,100.0
Labu Kuning dan Quiche Mozzarella dengan Thyme Segar,660.0,6.6,34.8,20.0,100.0
Yassa Au Poulet,660.0,8.1,15.2,44.0,100.0
Stew Domba dengan Bayam dan Kacang Garbanzo,660.0,17.1,32.0,34.0,100.0
Pasta Udang dengan Saus Tomat Pedas,660.0,4.6,75.2,29.0,100.0
Ditalini dengan Buncis dan Minyak Bawang Putih-Rosemary,660.0,15.0,92.2,21.0,100.0
Daging Domba dengan Saus Kacang Pedas,660.0,10.3,15.0,24.0,100.0
Kari Daging Sapi Pedas,660.0,14.9,12.8,33.0,100.0
Pai Apel Piring dalam dengan Kerak Cheddar,659.0,1.6,90.8,11.0,100.0
Risotto Sayuran Musim Semi dengan Telur Rebus,659.0,1.2,91.8,28.0,100.0
"Spaghetti dengan Tuna, Tomat, Caper, dan Kemangi",659.0,1.1,77.5,31.0,100.0
Risotto Quinoa Udang dan Jamur,659.0,9.3,43.5,47.0,100.0
Dada Ayam dengan Saus Kucai dan Mustard,659.0,10.2,26.0,51.0,100.0
Rebusan Kacang Portugis (Feijao A Portuguesa),658.0,1.3,25.2,29.0,100.0
Ikan Todak Panggang dengan Chutney Pisang Nanas,658.0,3.9,38.8,47.0,100.0
Burger Ayam Herba Lemon dengan Saus Pulau Seribu,658.0,28.2,32.2,31.0,100.0
Pancake Keripik Coklat Jeruk,658.0,17.9,79.5,13.0,100.0
Stew Daging Sapi Bawang Putih,658.0,15.6,54.5,29.0,100.0
Jamur Liar dan Lasagna Tiga Keju,658.0,12.9,19.2,35.0,100.0
Stew Domba dan Kacang Kuning,657.0,7.8,14.8,19.0,100.0
Kue Keju Kelapa dengan Glasir Markisa,657.0,21.1,59.8,10.0,100.0
Swiss Chard dan Herb Tart,656.0,7.8,30.8,23.0,100.0
Salad Ayam Panggang dengan Sayuran Hijau dan Saus Balsamic,656.0,11.7,13.5,38.0,100.0
Pasta dengan Butternut Squash dan Sage,656.0,3.3,102.0,26.0,100.0
Cabai Ancho Isi Tuna dan Kentang,656.0,8.0,68.0,24.0,100.0
Casserole Burrito Kacang,656.0,9.9,83.0,27.0,100.0
Salmon Panggang Madu dengan Mâche,655.0,9.8,60.0,25.0,100.0
Pancake Terbalik Pir dan Vanila,655.0,13.5,85.5,13.0,100.0
Angel-Hair Pasta With Sauteed Squid,655.0,5.8,36.8,73.0,100.0
Gnudi Ricotta dengan Jamur Liar dan Saus Truffle,655.0,12.6,40.5,40.0,100.0
Surf 'N' Turf dengan Saus Ketumbar-Jeruk Nipis,655.0,0.2,27.8,37.0,100.0
Petatou De Chère Fraise Au Thyme et Zaitun Nicoises,655.0,8.1,37.5,16.0,100.0
"Tumis Kacang Fava Segar, Bawang Bombai, dan Adas",654.0,4.7,74.8,28.0,100.0
Pasta dengan Ikan Todak dan Saus Tomat Ceri,654.0,10.0,74.8,37.0,100.0
"Tart Daun Bawang, Adas, dan Biji Poppy",654.0,13.0,49.2,13.0,100.0
Ratatouille Panggang dengan Custard Keju,653.0,10.4,47.8,21.0,100.0
Salad Ayam Salsa,653.0,4.7,14.2,32.0,100.0
Osso Buco Milan,653.0,9.3,33.0,74.0,100.0
Ikan asin pepetek goreng,652.0,11.4,0.0,40.4,100.0
Souffle Keju Gruyère dan Parmesan,651.0,10.4,17.0,40.0,100.0
Soupe A L'Oignon Au Fromage (Sup Bawang Perancis),651.0,0.8,66.5,31.0,100.0
"Burger dengan Artichoke, Gorgonzola, dan Tomat",651.0,10.7,29.0,37.0,100.0
Tortilla dengan Saus Kacang Hitam,651.0,8.5,52.0,23.0,100.0
Borscht Daging Sapi Pedas dengan Krim Asam,651.0,14.0,16.0,23.0,100.0
Souffle Ubi Jalar dan Gruyère,651.0,9.1,78.5,28.0,100.0
"Tumis Daging Sapi, Jamur, dan Brokoli",650.0,3.4,34.5,38.0,100.0
Udang Panggang dan Sayuran dengan Couscous Mutiara,650.0,8.3,59.0,36.0,100.0
Quesadillas Cheddar Ayam dengan Salsa Tomat dan Jagung,649.0,8.2,36.5,29.0,100.0
Irisan Steak dengan Salsa Jagung Panggang,649.0,21.7,22.2,50.0,100.0
Ayam Saus Kelapa Pedas,649.0,8.6,10.2,35.0,100.0
Puding Nasi dengan Krim Sherry,649.0,11.6,120.2,15.0,100.0
Ayam dengan Saus Cuka Tarragon,649.0,11.9,20.0,59.0,100.0
Hoppin' John Risotto,649.0,5.3,81.0,16.0,100.0
"Sisi Salmon yang Dioles Rosemary dengan Kentang Panggang, Parsnip, dan Jamur",648.0,5.5,28.2,46.0,100.0
Dada Bebek Magret Panggang dengan Truffle Hitam Serut,648.0,6.7,22.2,70.0,100.0
Spaghetti dengan Saus Zaitun Ikan Teri,648.0,1.8,88.0,20.0,100.0
Ayam Provencal Rebus dengan Butternut Squash dan Kacang Putih,647.0,1.4,15.2,43.0,100.0
Kielbasa dengan Bawang Keemasan dan Apel,647.0,0.3,19.2,21.0,100.0
Tart Krim Selai Kacang,647.0,10.4,28.0,10.0,100.0
Kue Es Krim Tiramisu,647.0,18.9,58.5,11.0,100.0
Orecchiette dengan Sosis dan Saus Cabai Merah,647.0,13.4,95.2,35.0,100.0
"Tumis Turbot dengan Endive Rebus, Flan Akar Seledri, Truffle Hitam, dan Nage Bawang Putih",646.0,3.3,44.0,32.0,100.0
"Sup Krim Wortel, Kacang Putih, dan Pir",646.0,9.6,80.5,27.0,100.0
"Sandwich Pancetta, Mizuna, dan Tomat dengan Aïoli Bawang Putih Hijau",646.0,18.9,43.8,12.0,100.0
Vinaigrette Daun Bawang dengan Keju Burrata dan Mustard,646.0,11.2,29.0,20.0,100.0
Kue Camilan Selai Kacang Renyah,646.0,23.8,54.2,15.0,100.0
Krim Bawang Bombai dan Adas dengan Remah Roti Berbumbu Renyah,646.0,21.0,44.0,14.0,100.0
"Pizza Terong, Zaitun Hijau, dan Provolone",646.0,14.9,64.0,21.0,100.0
Veal Scallopini dengan Zaitun dan Saus Tomat Kering,645.0,13.6,15.8,24.0,100.0
Pasta dengan Saus Daging,645.0,7.7,70.8,32.0,100.0
Crepes Nasi Daun Bawang dengan Isian Jamur dan Saus Cabai Merah,645.0,13.0,63.5,19.0,100.0
Salad Daging Sapi Panggang dengan Kubis dan Lobak,645.0,20.2,22.2,22.0,100.0
Bibimbap,645.0,12.6,34.0,35.0,100.0
Panekuk Apel Besar,645.0,1.1,64.5,18.0,100.0
Gouda dan Pizza Salad Merah,645.0,8.6,68.0,28.0,100.0
Iga Pendek Tanpa Tulang yang Direbus Cabai,645.0,0.8,20.2,42.0,100.0
Daging Sapi dan Kacang Polong dengan Mie Goreng,645.0,13.9,54.2,35.0,100.0
Bourguignonne Hati Sapi,645.0,17.3,15.5,22.0,100.0
Pasta Ikan Teri dengan Remah Roti Bawang Putih,644.0,9.9,85.0,22.0,100.0
Salad Ayam Tropis,644.0,6.5,30.0,41.0,100.0
Salad Udang Rempah Thailand dengan Sayuran Asia dan Saus Pesto,644.0,1.3,20.8,21.0,100.0
Ayam Panggang dengan Glasir Asam-Jeruk,644.0,16.5,43.0,10.0,100.0
"Fusilli dengan Tomat, dan Kemangi",644.0,14.5,92.8,21.0,100.0
Daging Sapi Panggang dan Selada Air Dibungkus dengan Mayones Ikan Teri Rosemary,644.0,10.9,26.2,29.0,100.0
Sandwich Salad Telur Terbaik,643.0,7.3,30.8,22.0,100.0
Steak Panggang dengan Saus Cabai Merah,642.0,18.6,13.8,41.0,100.0
Sayuran Labu Butternut,642.0,6.2,28.5,15.0,100.0
Pai Krim Pisang dengan Karamel Bourbon Asin,642.0,1.1,63.0,12.0,100.0
Spaghetti dengan Peterseli Pesto,642.0,9.1,60.2,17.0,100.0
"Terong Bawang Putih, Tomat dan Kemangi Bobolis",642.0,10.8,75.0,27.0,100.0
Wafel Biji Lemon-Poppy dengan Saus Blueberry,642.0,6.2,106.0,14.0,100.0
Ayam Jeruk Cina,642.0,0.2,34.5,27.0,100.0
Salad Kentang Super,641.0,4.7,55.8,19.0,100.0
"Yogurt dengan Granola, Buah Tropis, dan Kristal Jahe",641.0,10.5,83.2,23.0,100.0
Pangsit Ricotta dan Mozzarella Goreng dengan Saus Brokoli,641.0,12.9,37.2,24.0,100.0
"Pasta dengan Kacang Polong, Ricotta Salata, dan Lemon",641.0,1.4,76.8,25.0,100.0
Daging Sapi Panggang Panggang dan Sandwich Stilton,641.0,14.4,38.0,39.0,100.0
Salad Mie Beras Kelapa-Mangga,641.0,3.1,49.2,12.0,100.0
"Fontina, Jagung dan Jalapeño Quesadillas",640.0,9.2,57.2,24.0,100.0
Route 66 Chili,640.0,12.9,24.8,34.0,100.0
Halibut Panggang dan Buncis dengan Saus Ketumbar Asia,640.0,10.4,15.2,48.0,100.0
Flan Labu dengan Meringue,640.0,10.4,91.8,12.0,100.0
"Iga ""Panggang"" Cina-Hawaii",640.0,6.7,31.8,45.0,100.0
Kue Kepiting dengan Mayones Cabai Merah,640.0,18.8,64.8,21.0,100.0
Kerang dengan Garam Masala,640.0,2.8,31.0,57.0,100.0
Lasagna Domba dan Terong ala Yunani,639.0,3.1,28.0,26.0,100.0
Pan Bagnat,639.0,8.4,61.8,35.0,100.0
Strozzapreti dengan Bayam dan Lemon yang Diawetkan,639.0,18.2,73.8,14.0,100.0
Salmon Panggang dengan Chutney Kurma Apel,638.0,10.7,32.2,35.0,100.0
Salad Caesar Keju Biru,638.0,8.8,20.5,22.0,100.0
Gorgonzola dan Leek Crème Brûlée,638.0,11.8,34.0,13.0,100.0
Dada Ayam Berkulit Jagung,637.0,17.0,38.5,60.0,100.0
Pasta Kerang Isi Bayam dan Keju,637.0,13.3,86.8,32.0,100.0
Pear Charlottes dengan Chamomile Crème Anglaise,637.0,8.2,109.2,14.0,100.0
Makaroni dan Keju Carbonara,637.0,10.5,42.8,31.0,100.0
"Orecchiette dengan Kubis Savoy, Kacang Polong, dan Krim Lemon",636.0,12.4,96.2,20.0,100.0
Kerang dengan Pernod dan Krim,636.0,8.0,58.0,56.0,100.0
Couscous Ayam Berbumbu dengan Bawang Kayu Manis,636.0,17.9,87.0,18.0,100.0
"Orzo Panggang dengan Udang, Saus Tomat, dan Feta",636.0,13.0,68.0,37.0,100.0
"Paillard Ayam dengan Tomat, Kemangi, dan Jagung Panggang",636.0,18.9,21.8,72.0,100.0
Bakso Daging Sapi dengan Sayuran Rebus,636.0,1.2,35.8,31.0,100.0
Croque Madame dengan Acar Cranberry-Mustard,636.0,11.8,27.0,33.0,100.0
Pai Pisang Picadillo dengan Keju,636.0,1.1,55.5,27.0,100.0
Pappardelle dalam Saus Krim Lemon dengan Asparagus dan Salmon Asap,635.0,8.2,97.0,19.0,100.0
Tumis Daging Sapi Pedas dan Ubi Jalar,635.0,4.7,54.5,30.0,100.0
French Toast Fingers dengan Selai Cokelat Hazelnut dan Blueberry,635.0,9.7,77.2,14.0,100.0
"Cokelat Panas dengan Espresso, Lemon, dan Adas Manis",635.0,14.8,86.0,12.0,100.0
Daging Sapi Panggang dengan Saus Jamur Liar dan Kentang Tumbuk Bawang Merah Karamel,635.0,13.6,12.8,38.0,100.0
Penne dengan Pancetta dan Saus Krim Tomat,635.0,13.3,96.0,20.0,100.0
Salmon Panggang dengan Glasir Hoisin dan Kenikmatan Plum-Jahe,635.0,11.7,19.8,49.0,100.0
Fusilli ala Thailand dengan Terong dan Shiitake,634.0,10.5,78.5,17.0,100.0
Kakap Merah Dipanggang dengan Adas dan Remah Roti,634.0,10.5,49.8,66.0,100.0
Rigatoni dengan Udang dalam Saus Tomat dan Feta,634.0,6.8,71.5,33.0,100.0
"Halibut Panggang dengan Orzo, Bayam, dan Tomat Ceri",634.0,14.0,44.8,44.0,100.0
Sosis Ayam dengan Kubis dan Bawang,633.0,14.4,21.0,27.0,100.0
Pasta Rags dengan Seribu Herbal,633.0,7.9,89.8,19.0,100.0
Sup Bawang dan Barley dengan Flan Keju Swiss,633.0,3.9,27.0,21.0,100.0
"Burrito Ubi Jalar, Jamur, dan Kacang Hitam Cepat",632.0,8.6,76.2,21.0,100.0
Ikan Bass Laut Hitam dengan Saus Rhubarb Jeruk Asam Manis,632.0,1.9,29.5,88.0,100.0
Kari Udang dan Kerang,632.0,12.9,46.0,31.0,100.0
Fettucine dengan Saus Krim Ayam dan Paprika,632.0,15.9,51.2,28.0,100.0
Burger Salmon dengan Mayones Mustard Jahe,632.0,17.6,25.8,40.0,100.0
Pizza Bawang Karamel dengan Jamur,632.0,9.3,88.0,16.0,100.0
Sup Daun Bawang dan Kacang Cannellini,631.0,1.6,57.2,24.0,100.0
